versions,means,ids,confidence_intervals
clang.exts.1.lbr,0.823,A,0.0018032
clang.exts.5.lbr,0.783,A,0.0007728
clang.exts.10.lbr,0.764,A,0.0007728
clang.exts.15.lbr,0.756,A,0.0007728
clang.exts.pt,0.778,B,0.0007728
clang.tty.1.lbr,0.798,A,0.0010304000000000001
clang.tty.5.lbr,0.755,A,0.0007728
clang.tty.10.lbr,0.741,A,0.0007728
clang.tty.15.lbr,0.735,A,0.0007728
clang.tty.pt,0.752,B,0.0007728
clang.format.1.lbr,0.786,A,0.0010304000000000001
clang.format.5.lbr,0.743,A,0.0010304000000000001
clang.format.10.lbr,0.733,A,0.0007728
clang.format.15.lbr,0.727,A,0.0007728
clang.format.pt,0.742,B,0.0007728
clang.window-copy.1.lbr,0.781,A,0.0010304000000000001
clang.window-copy.5.lbr,0.739,A,0.0007728
clang.window-copy.10.lbr,0.727,A,0.0007728
clang.window-copy.15.lbr,0.72,A,0.0007728
clang.window-copy.pt,0.737,B,0.0007728
