versions,means,ids,confidence_intervals
clang.exts.1.lbr,0.517,A,0.0007728
clang.exts.5.lbr,0.494,A,0.0007728
clang.exts.10.lbr,0.481,A,0.0007728
clang.exts.15.lbr,0.477,A,0.0005152000000000001
clang.exts.pt,0.491,B,0.0005152000000000001
clang.tty.1.lbr,0.502,A,0.0007728
clang.tty.5.lbr,0.475,A,0.0005152000000000001
clang.tty.10.lbr,0.465,A,0.0007728
clang.tty.15.lbr,0.461,A,0.0005152000000000001
clang.tty.pt,0.471,B,0.0005152000000000001
clang.format.1.lbr,0.497,A,0.0005152000000000001
clang.format.5.lbr,0.469,A,0.0005152000000000001
clang.format.10.lbr,0.463,A,0.0005152000000000001
clang.format.15.lbr,0.459,A,0.0005152000000000001
clang.format.pt,0.468,B,0.0005152000000000001
clang.window-copy.1.lbr,0.495,A,0.0007728
clang.window-copy.5.lbr,0.469,A,0.0007728
clang.window-copy.10.lbr,0.463,A,0.0007728
clang.window-copy.15.lbr,0.458,A,0.0005152000000000001
clang.window-copy.pt,0.468,B,0.0005152000000000001
