versions,means,std_dev,ids
clang.exts.1.lbr,0.235,0.003,A
clang.exts.5.lbr,0.225,0.002,A
clang.exts.10.lbr,0.221,0.003,A
clang.exts.15.lbr,0.219,0.003,A
clang.exts.pt,0.224,0.002,B
clang.tty.1.lbr,0.230,0.002,A
clang.tty.5.lbr,0.220,0.002,A
clang.tty.10.lbr,0.217,0.002,A
clang.tty.15.lbr,0.216,0.003,A
clang.tty.pt,0.220,0.002,B
clang.format.1.lbr,0.227,0.002,A
clang.format.5.lbr,0.217,0.002,A
clang.format.10.lbr,0.214,0.002,A
clang.format.15.lbr,0.213,0.002,A
clang.format.pt,0.217,0.003,B
clang.window-copy.1.lbr,0.227,0.002,A
clang.window-copy.5.lbr,0.218,0.002,A
clang.window-copy.10.lbr,0.215,0.002,A
clang.window-copy.15.lbr,0.214,0.002,A
clang.window-copy.pt,0.217,0.002,B

