versions,means,std_dev,ids
clang.exts.1.lbr,0.846,0.035,A
clang.exts.5.lbr,0.808,0.030,A
clang.exts.10.lbr,0.788,0.040,A
clang.exts.15.lbr,0.779,0.038,A
clang.exts.pt,0.802,0.028,B
clang.tty.1.lbr,0.823,0.030,A
clang.tty.5.lbr,0.780,0.036,A
clang.tty.10.lbr,0.764,0.035,A
clang.tty.15.lbr,0.757,0.035,A
clang.tty.pt,0.776,0.036,B
clang.format.1.lbr,0.808,0.027,A
clang.format.5.lbr,0.763,0.030,A
clang.format.10.lbr,0.753,0.031,A
clang.format.15.lbr,0.747,0.033,A
clang.format.pt,0.756,0.003,B
clang.window-copy.1.lbr,0.808,0.027,A
clang.window-copy.5.lbr,0.768,0.040,A
clang.window-copy.10.lbr,0.759,0.045,A
clang.window-copy.15.lbr,0.749,0.029,A
clang.window-copy.pt,0.763,0.027,B

